,fit,M1,M2,M3,M4,M5,M6,M7,M8,M1M1,M1M2,M1M3,M1M4,M1M5,M1M6,M1M7,M1M8,M2M2,M2M3,M2M4,M2M5,M2M6,M2M7,M2M8,M3M3,M3M4,M3M5,M3M6,M3M7,M3M8,M4M4,M4M5,M4M6,M4M7,M4M8,M5M5,M5M6,M5M7,M5M8,M6M6,M6M7,M6M8,M7M7,M7M8,M8M8
22,0.09341030734092998,133.7469057667485,-135.49451345952622,-241.14464818230954,-5444.714375465395,74.6259408062629,-52.45334575945398,-38817.07287156854,-1197.1660866878574,17888.234802179508,-18121.971923582692,-32252.350536595077,-728213.7005022313,9980.988672770198,-7015.472692440369,-5191663.387494688,-160117.25978338794,18358.763177633733,32673.776778830656,737728.9252297719,-10111.405541003996,7107.14056300152,5259500.402656154,162209.43644601622,58150.741346969844,1312963.732524766,-17995.646241000126,12648.843609148567,9360529.381081467,288690.19479013566,29644914.63039953,-406316.9326904893,285593.48569775594,211347874.67731705,6518227.402009029,5569.031041219855,-3914.3802757354542,-2896760.5823860676,-89339.64552043345,2751.353481360829,2036085.3447023057,62795.36667653064,1506765146.3166623,46470483.2263331,1433206.6391155184
23,0.09373585290709635,133.7469057667485,-131.9992980739708,-241.14464818230954,-5444.714375465395,74.6259408062629,-52.45334575945398,-38817.07287156854,-1197.1660866878574,17888.234802179508,-17654.497680776323,-32252.350536595077,-728213.7005022313,9980.988672770198,-7015.472692440369,-5191663.387494688,-160117.25978338794,17423.814692020995,31830.924294359498,718698.4757746905,-9850.571804536397,6923.804821879218,5123826.372333221,158025.08312075966,58150.741346969844,1312963.732524766,-17995.646241000126,12648.843609148567,9360529.381081467,288690.19479013566,29644914.63039953,-406316.9326904893,285593.48569775594,211347874.67731705,6518227.402009029,5569.031041219855,-3914.3802757354542,-2896760.5823860676,-89339.64552043345,2751.353481360829,2036085.3447023057,62795.36667653064,1506765146.3166623,46470483.2263331,1433206.6391155184
24,-0.018815847070565578,51.588584107248295,-77.26672198767153,-52061.51300668428,-1389.4854473328896,29.307081896639403,-35.46469113090292,-2993.739324304051,-1017.8875246633754,2661.3820101906313,-3986.080785952364,-2685779.742495933,-71681.58686553029,1511.9108593627957,-1829.5732012441679,-154442.77292703622,-52511.37617781531,5970.146326720123,4022622.4517450198,107360.9857649858,-2264.462149177558,2740.2404299901164,231316.42407456072,78648.83238288418,2710401136.545157,72338714.68891977,-1525771.0253498538,1846345.4785895431,155858598.77087757,52992764.60460399,1930669.8083498804,-40721.763799173634,49277.672220545406,4159757.224228677,1414339.902541458,858.905049296329,-1039.366607412393,-87737.76355456874,-29831.313046877105,1257.7443170103443,106172.04046288118,36099.06666818594,8962475.141884476,3047289.9103032565,1036095.0128653337
25,-0.011681463886649035,51.588584107248295,-25.910446226825055,-52061.51300668428,-1389.4854473328896,29.307081896639403,-35.46469113090292,-2993.739324304051,-1017.8875246633754,2661.3820101906313,-1336.6832344288987,-2685779.742495933,-71681.58686553029,1511.9108593627957,-1829.5732012441679,-154442.77292703622,-52511.37617781531,671.3512236731927,1348937.0332468464,36002.187966074795,-759.3595695480333,918.9059724982196,77569.12177951168,26373.91997274645,2710401136.545157,72338714.68891977,-1525771.0253498538,1846345.4785895431,155858598.77087757,52992764.60460399,1930669.8083498804,-40721.763799173634,49277.672220545406,4159757.224228677,1414339.902541458,858.905049296329,-1039.366607412393,-87737.76355456874,-29831.313046877105,1257.7443170103443,106172.04046288118,36099.06666818594,8962475.141884476,3047289.9103032565,1036095.0128653337
26,-0.0007947093631843066,51.588584107248295,-77.26672198767153,-52061.51300668428,-1389.4854473328896,29.307081896639403,-23.149472662375885,-2993.739324304051,-1017.8875246633754,2661.3820101906313,-3986.080785952364,-2685779.742495933,-71681.58686553029,1511.9108593627957,-1194.2485174814235,-154442.77292703622,-52511.37617781531,5970.146326720123,4022622.4517450198,107360.9857649858,-2264.462149177558,1788.6838683649999,231316.42407456072,78648.83238288418,2710401136.545157,72338714.68891977,-1525771.0253498538,1205196.5721101644,155858598.77087757,52992764.60460399,1930669.8083498804,-40721.763799173634,32165.855377801858,4159757.224228677,1414339.902541458,858.905049296329,-678.443491180265,-87737.76355456874,-29831.313046877105,535.8980845460884,69303.48664625628,23563.55942556827,8962475.141884476,3047289.9103032565,1036095.0128653337
27,0.005472932735021571,51.588584107248295,-25.910446226825055,-52061.51300668428,-1389.4854473328896,29.307081896639403,-23.149472662375885,-2993.739324304051,-1017.8875246633754,2661.3820101906313,-1336.6832344288987,-2685779.742495933,-71681.58686553029,1511.9108593627957,-1194.2485174814235,-154442.77292703622,-52511.37617781531,671.3512236731927,1348937.0332468464,36002.187966074795,-759.3595695480333,599.813166597847,77569.12177951168,26373.91997274645,2710401136.545157,72338714.68891977,-1525771.0253498538,1205196.5721101644,155858598.77087757,52992764.60460399,1930669.8083498804,-40721.763799173634,32165.855377801858,4159757.224228677,1414339.902541458,858.905049296329,-678.443491180265,-87737.76355456874,-29831.313046877105,535.8980845460884,69303.48664625628,23563.55942556827,8962475.141884476,3047289.9103032565,1036095.0128653337
28,-0.0344483440899524,74.3488984896983,-88.69949587716059,-16260.342642976064,-617.7701786217445,77.1405771735233,-103.70319996351179,-55709.80552093653,-1704.945244807941,5527.758706631462,-6594.709815058425,-1208938.5645703399,-45930.53230031087,5735.316941711021,-7710.218687144023,-4141962.6755569438,-126760.80093671942,7867.600568862428,1442284.195221874,54795.90341169219,-6842.330306964718,9198.421557611875,4941431.665121728,151227.78371262652,264398742.8669858,10045154.779002093,-1254332.2165184268,1686249.5645797646,905860526.3439876,27722993.86808983,381639.99359434214,-47655.14813947196,64064.74436510517,34415856.50765161,1053264.3284252957,5950.668646664303,-7999.7246999266,-4297486.552109779,-131520.46023373853,10754.353682672112,5777285.101866034,176808.27764915646,3103582431.18057,94982168.01209591,2906838.28779321
29,-0.03068177706005165,74.3488984896983,-59.99830110223602,-16260.342642976064,-617.7701786217445,77.1405771735233,-103.70319996351179,-55709.80552093653,-1704.945244807941,5527.758706631462,-4460.807598204499,-1208938.5645703399,-45930.53230031087,5735.316941711021,-7710.218687144023,-4141962.6755569438,-126760.80093671942,3599.796135154576,975592.9339188061,37065.16118892956,-4628.303576457326,6222.015816676172,3342493.6859921603,102293.81816081234,264398742.8669858,10045154.779002093,-1254332.2165184268,1686249.5645797646,905860526.3439876,27722993.86808983,381639.99359434214,-47655.14813947196,64064.74436510517,34415856.50765161,1053264.3284252957,5950.668646664303,-7999.7246999266,-4297486.552109779,-131520.46023373853,10754.353682672112,5777285.101866034,176808.27764915646,3103582431.18057,94982168.01209591,2906838.28779321
30,0.07860498641553548,74.3488984896983,-88.69949587716059,-16260.342642976064,-617.7701786217445,77.1405771735233,-50.577954383534795,-55709.80552093653,-1704.945244807941,5527.758706631462,-6594.709815058425,-1208938.5645703399,-45930.53230031087,5735.316941711021,-3760.4151962780197,-4141962.6755569438,-126760.80093671942,7867.600568862428,1442284.195221874,54795.90341169219,-6842.330306964718,4486.23905631756,4941431.665121728,151227.78371262652,264398742.8669858,10045154.779002093,-1254332.2165184268,822414.868457089,905860526.3439876,27722993.86808983,381639.99359434214,-47655.14813947196,31245.55191383874,34415856.50765161,1053264.3284252957,5950.668646664303,-3901.612593402007,-4297486.552109779,-131520.46023373853,2558.1294696229265,2817688.0023535225,86232.6428183206,3103582431.18057,94982168.01209591,2906838.28779321
31,0.08148803043868591,74.3488984896983,-59.99830110223602,-16260.342642976064,-617.7701786217445,77.1405771735233,-50.577954383534795,-55709.80552093653,-1704.945244807941,5527.758706631462,-4460.807598204499,-1208938.5645703399,-45930.53230031087,5735.316941711021,-3760.4151962780197,-4141962.6755569438,-126760.80093671942,3599.796135154576,975592.9339188061,37065.16118892956,-4628.303576457326,3034.591336238479,3342493.6859921603,102293.81816081234,264398742.8669858,10045154.779002093,-1254332.2165184268,822414.868457089,905860526.3439876,27722993.86808983,381639.99359434214,-47655.14813947196,31245.55191383874,34415856.50765161,1053264.3284252957,5950.668646664303,-3901.612593402007,-4297486.552109779,-131520.46023373853,2558.1294696229265,2817688.0023535225,86232.6428183206,3103582431.18057,94982168.01209591,2906838.28779321
