,lam1,lam2,lam3,lam4,lam5,lam6,lam7,lam8,lam11,lam12,lam13,lam14,lam15,lam16,lam17,lam18,lam22,lam23,lam24,lam25,lam26,lam27,lam28,lam33,lam34,lam35,lam36,lam37,lam38,lam44,lam45,lam46,lam47,lam48,lam55,lam56,lam57,lam58,lam66,lam67,lam68,lam77,lam78,lam88
20,0.0017279260449434,0.0001625286242349317,7.559676446627374e-07,1.7279260449433998e-05,-0.00012382462774577975,-0.0001264312117465849,-1.547807846822247e-09,-1.2382462774577977e-06,-8.387336953168195e-06,-3.9660807626905066e-07,-7.338919834022171e-09,-1.677467390633639e-07,1.9317832532864843e-05,1.983040381345253e-05,2.4147290666081056e-10,1.9317832532864844e-07,-4.048078386386425e-10,-1.7351603336770964e-10,-3.9660807626905055e-09,1.006575591117997e-08,2.0240391931932125e-08,1.2582194888974962e-13,1.0065755911179971e-10,-1.6053887136923497e-12,-7.338919834022169e-11,8.451551733128368e-09,8.675801668385482e-09,1.0564439666410459e-13,8.451551733128368e-11,-8.387336953168196e-10,1.9317832532864844e-07,1.9830403813452528e-07,2.4147290666081053e-12,1.9317832532864844e-09,-1.5102499166031e-08,-5.032877955589985e-07,-3.775624791507749e-13,-3.0204998332061996e-10,-1.0120195965966061e-06,-6.291097444487481e-12,-5.032877955589985e-09,-2.3597654946923434e-18,-3.775624791507749e-15,-1.5102499166030997e-12
21,0.001716793642241207,0.00016251727410372668,7.51097218480528e-07,1.716793642241207e-05,-0.00012354209795741746,-0.00012586370518633227,-1.5442762244677182e-09,-1.2354209795741747e-06,-8.29550400045844e-06,-3.9476324892451724e-07,-7.2585660004011334e-09,-1.6591008000916877e-07,1.927147955589621e-05,1.9738162446225864e-05,2.4089349444870257e-10,1.9271479555896208e-07,-4.02043214613258e-10,-1.7270892140447628e-10,-3.9476324892451725e-09,1.0018496355189903e-08,2.0102160730662897e-08,1.2523120443987379e-13,1.0018496355189903e-10,-1.5878113125877478e-12,-7.258566000401133e-11,8.43127230570459e-09,8.635446070223813e-09,1.0539090382130737e-13,8.431272305704591e-11,-8.295504000458438e-10,1.9271479555896206e-07,1.973816244622586e-07,2.4089349444870257e-12,1.9271479555896205e-09,-1.49993570624142e-08,-5.009248177594951e-07,-3.7498392656035503e-13,-2.9998714124828404e-10,-1.0051080365331448e-06,-6.261560221993688e-12,-5.009248177594951e-09,-2.343649541002219e-18,-3.749839265603551e-15,-1.4999357062414201e-12
22,0.0023238033599006875,0.00016317224731795895,1.0166639699565507e-06,2.3238033599006874e-05,-0.00013896538033036465,-0.00015861236589794636,-1.737067254129558e-09,-1.3896538033036465e-06,-1.4189658152266657e-05,-5.022574130385768e-07,-1.2415950883233325e-08,-2.837931630453331e-07,2.1827172795687724e-05,2.5112870651928838e-05,2.728396599460965e-10,2.1827172795687724e-07,-5.721997734541337e-10,-2.1973761820437735e-10,-5.022574130385768e-09,1.2776720792868708e-08,2.8609988672706687e-08,1.5970900991085884e-13,1.2776720792868708e-10,-2.7159892557072893e-12,-1.2415950883233324e-10,9.549388098113378e-09,1.0986880910218866e-08,1.1936735122641722e-13,9.549388098113378e-11,-1.4189658152266657e-09,2.182717279568772e-07,2.511287065192884e-07,2.728396599460965e-12,2.182717279568772e-09,-2.1347527830626497e-08,-6.388360396434354e-07,-5.336881957656624e-13,-4.2695055661253e-10,-1.430499433635334e-06,-7.985450495542943e-12,-6.388360396434354e-09,-3.33555122353539e-18,-5.3368819576566245e-15,-2.1347527830626497e-12
23,0.002309710011037624,0.00016315621098644933,1.0104981298289604e-06,2.309710011037624e-05,-0.00013860687514619615,-0.00015781054932246708,-1.732585939327452e-09,-1.3860687514619616e-06,-1.4031325454431637e-05,-4.996001274095059e-07,-1.2277409772627682e-08,-2.806265090886327e-07,2.176715785235605e-05,2.4980006370475292e-05,2.7208947315445063e-10,2.176715785235605e-07,-5.677826770877386e-10,-2.1857505574165883e-10,-4.996001274095058e-09,1.2708431868391699e-08,2.838913385438693e-08,1.5885539835489623e-13,1.27084318683917e-10,-2.6856833877623054e-12,-1.2277409772627682e-10,9.523131560405772e-09,1.092875278708294e-08,1.1903914450507214e-13,9.523131560405772e-11,-1.4031325454431636e-09,2.1767157852356048e-07,2.498000637047529e-07,2.720894731544506e-12,2.176715785235605e-09,-2.118273558150874e-08,-6.354215934195849e-07,-5.295683895377186e-13,-4.2365471163017485e-10,-1.4194566927193463e-06,-7.942769917744811e-12,-6.354215934195849e-09,-3.3098024346107405e-18,-5.295683895377185e-15,-2.1182735581508742e-12
24,0.0009714347950691285,0.00011666947973356512,4.2500272284274366e-07,9.714347950691284e-06,0.0022945315665320654,0.002166526013321745,2.8681644581650815e-08,2.2945315665320653e-05,-3.1049236640073976e-06,-1.7032482206020776e-07,-2.7168082060064724e-09,-6.209847328014794e-08,1.0190504194682552e-05,8.516241103010388e-06,1.273813024335319e-10,1.0190504194682551e-07,3.873494803500107e-09,-7.451710965134088e-11,-1.7032482206020775e-09,-6.446895013663937e-08,-1.9367474017500537e-07,-8.05861876707992e-13,-6.446895013663936e-10,-5.943017950639158e-13,-2.7168082060064724e-11,4.458345585173617e-09,3.725855482567044e-09,5.57293198146702e-14,4.458345585173616e-11,-3.1049236640073976e-10,1.019050419468255e-07,8.516241103010387e-08,1.2738130243353187e-12,1.0190504194682551e-09,-4.0340370854593235e-06,3.2234475068319677e-06,-1.0085092713648309e-10,-8.068074170918647e-08,9.683737008750267e-06,4.0293093835399595e-11,3.223447506831968e-08,-6.303182946030193e-16,-1.008509271364831e-12,-4.0340370854593235e-10
25,0.0009663679706548255,0.00011678458370784042,4.2278598716148613e-07,9.663679706548255e-06,0.002292612010826707,0.00216077081460798,2.8657650135333837e-08,2.2926120108267072e-05,-3.0823964122228866e-06,-1.7026624014063854e-07,-2.6970968606950255e-09,-6.164792824445773e-08,1.0194651063495258e-05,8.513312007031927e-06,1.2743313829369072e-10,1.0194651063495259e-07,3.86378148692653e-09,-7.449148006152935e-11,-1.702662401406385e-09,-6.456315549507316e-08,-1.931890743463265e-07,-8.070394436884144e-13,-6.456315549507315e-10,-5.899899382770368e-13,-2.6970968606950254e-11,4.460159840279176e-09,3.724574003076467e-09,5.575199800348969e-14,4.460159840279175e-11,-3.082396412222886e-10,1.0194651063495258e-07,8.513312007031924e-08,1.274331382936907e-12,1.0194651063495257e-09,-4.023921187215388e-06,3.228157774753658e-06,-1.005980296803847e-10,-8.047842374430777e-08,9.659453717316322e-06,4.035197218442072e-11,3.228157774753658e-08,-6.287376855024044e-16,-1.0059802968038471e-12,-4.0239211872153883e-10
26,0.0015207436290345826,0.00010242905644929327,6.653253377026298e-07,1.5207436290345825e-05,0.0024781735313704825,0.0028785471775353375,3.097716914213103e-08,2.4781735313704825e-05,-5.94095019533949e-06,-1.6384924634517185e-07,-5.198331420922054e-09,-1.188190039067898e-07,9.488796093456728e-06,8.192462317258592e-06,1.186099511682091e-10,9.488796093456729e-08,4.879957161769923e-09,-7.168404527601268e-11,-1.6384924634517182e-09,-4.599728607162656e-08,-2.439978580884961e-07,-5.749660758953319e-13,-4.599728607162656e-10,-1.1371349983266991e-12,-5.198331420922053e-11,4.151348290887319e-09,3.5842022638006338e-09,5.189185363609148e-14,4.151348290887319e-11,-5.94095019533949e-10,9.488796093456729e-08,8.192462317258591e-08,1.186099511682091e-12,9.488796093456729e-10,-5.082213650640346e-06,2.2998643035813276e-06,-1.2705534126600866e-10,-1.0164427301280693e-07,1.2199892904424804e-05,2.8748303794766594e-11,2.2998643035813276e-08,-7.94095882912554e-16,-1.2705534126600865e-12,-5.082213650640346e-10
27,0.001515865733292357,0.00010257412986040091,6.631912583154062e-07,1.5158657332923571e-05,0.002476801302531986,0.0028712935069799546,3.096001628164982e-08,2.476801302531986e-05,-5.912499415653722e-06,-1.640418960643669e-07,-5.173436988697007e-09,-1.1824998831307444e-07,9.497076243998205e-06,8.202094803218344e-06,1.1871345304997757e-10,9.497076243998206e-08,4.871855173873132e-09,-7.176832952816051e-11,-1.6404189606436689e-09,-4.624354611622074e-08,-2.435927586936566e-07,-5.780443264527592e-13,-4.6243546116220737e-10,-1.1316893412774701e-12,-5.173436988697006e-11,4.154970856749214e-09,3.5884164764080256e-09,5.193713570936518e-14,4.1549708567492146e-11,-5.912499415653721e-10,9.497076243998206e-08,8.202094803218344e-08,1.1871345304997757e-12,9.497076243998206e-10,-5.073775864790714e-06,2.3121773058110372e-06,-1.2684439661976784e-10,-1.0147551729581429e-07,1.2179637934682828e-05,2.890221632263796e-11,2.312177305811037e-08,-7.92777478873549e-16,-1.2684439661976785e-12,-5.073775864790714e-10
28,-0.0005898196961755575,7.856329924099287e-05,-2.580461170768064e-07,-5.8981969617555746e-06,0.009778328113757591,0.004071835037950357,1.2222910142196987e-07,9.77832811375759e-05,6.473690836141912e-06,-5.321324847165045e-07,5.664479481624172e-09,1.2947381672283823e-07,3.91991926804358e-05,2.660662423582522e-05,4.899899085054475e-10,3.91991926804358e-07,2.6903083508152773e-08,-2.3280796206347065e-10,-5.321324847165043e-09,5.9073554421178994e-08,-1.3451541754076386e-06,7.384194302647374e-13,5.9073554421179e-10,1.2391048866052875e-12,5.664479481624172e-11,1.7149646797690662e-08,1.1640398103173531e-08,2.1437058497113323e-13,1.714964679769066e-10,6.473690836141911e-10,3.9199192680435795e-07,2.6606624235825213e-07,4.899899085054474e-12,3.91991926804358e-09,-0.0004020604808306741,-2.9536777210589503e-06,-1.0051512020766852e-08,-8.041209616613482e-06,6.725770877038193e-05,-3.692097151323687e-11,-2.95367772105895e-08,-6.282195012979282e-14,-1.0051512020766852e-10,-4.020604808306741e-08
29,-0.0006378836882706726,8.097080022081217e-05,-2.790741136184192e-07,-6.378836882706725e-06,0.009779185221419996,0.003951459988959391,1.2223981526774995e-07,9.779185221419997e-05,6.8729087774559424e-06,-5.422103138228437e-07,6.0137951802739495e-09,1.3745817554911885e-07,4.117560555515698e-05,2.7110515691142183e-05,5.146950694394622e-10,4.117560555515698e-07,2.6910158601155255e-08,-2.372170122974941e-10,-5.422103138228436e-09,-3.992388352736264e-08,-1.3455079300577628e-06,-4.99048544092033e-13,-3.992388352736264e-10,1.3155176956849262e-12,6.013795180273949e-11,1.8014327430381176e-08,1.1860850614874706e-08,2.251790928797647e-13,1.8014327430381178e-10,6.872908777455942e-10,4.117560555515698e-07,2.711051569114218e-07,5.146950694394622e-12,4.117560555515698e-09,-0.0004021662164908127,1.996194176368132e-06,-1.0054155412270316e-08,-8.043324329816255e-06,6.727539650288812e-05,2.4952427204601648e-11,1.996194176368132e-08,-6.283847132668948e-14,-1.0054155412270317e-10,-4.0216621649081265e-08
